,Player,Tgt,Rec,Yds,Y/R,TD,Lng,Tm,Home Game,Opponent,Year
4,Dontrell Hilliard,2,1,14,14.0,0,14.0,CLE,1,TEN,2019
5,Odell Beckham Jr.,11,7,71,10.1,0,24.0,CLE,1,TEN,2019
6,Rashard Higgins,3,2,46,23.0,0,35.0,CLE,1,TEN,2019
7,David Njoku,6,4,37,9.2,1,18.0,CLE,1,TEN,2019
8,Damion Ratley,2,2,17,8.5,0,10.0,CLE,1,TEN,2019
1,Nick Chubb,4,4,36,9.0,0,13.0,CLE,1,NYJ,2019
2,D'Ernest Johnson,4,3,42,14.0,0,27.0,CLE,1,NYJ,2019
3,Odell Beckham Jr.,10,6,161,26.8,1,89.0,CLE,1,NYJ,2019
4,Damion Ratley,3,2,50,25.0,0,29.0,CLE,1,NYJ,2019
5,Jarvis Landry,7,3,32,10.7,0,25.0,CLE,1,NYJ,2019
6,Demetrius Harris,1,1,4,4.0,0,4.0,CLE,1,NYJ,2019
1,Nick Chubb,7,4,35,8.8,0,30.0,CLE,1,LAR,2019
2,Jarvis Landry,9,3,62,20.7,0,27.0,CLE,1,LAR,2019
3,Odell Beckham Jr.,9,6,56,9.3,0,19.0,CLE,1,LAR,2019
4,Damion Ratley,5,3,26,8.7,0,16.0,CLE,1,LAR,2019
5,Ricky Seals-Jones,2,1,14,14.0,0,14.0,CLE,1,LAR,2019
6,Demetrius Harris,2,1,2,2.0,1,2.0,CLE,1,LAR,2019
1,Odell Beckham Jr.,7,2,20,10.0,0,17.0,CLE,1,BAL,2019
2,Nick Chubb,4,3,18,6.0,0,10.0,CLE,1,BAL,2019
3,Dontrell Hilliard,3,2,27,13.5,0,19.0,CLE,1,BAL,2019
4,Jarvis Landry,10,8,167,20.9,0,65.0,CLE,1,BAL,2019
5,Ricky Seals-Jones,3,3,82,27.3,1,59.0,CLE,1,BAL,2019
6,Pharaoh Brown,1,1,18,18.0,0,18.0,CLE,1,BAL,2019
7,Damion Ratley,3,1,10,10.0,0,10.0,CLE,1,BAL,2019
1,Odell Beckham Jr.,6,2,27,13.5,0,20.0,CLE,1,SFO,2019
3,Nick Chubb,1,1,12,12.0,0,12.0,CLE,1,SFO,2019
4,Jarvis Landry,6,4,75,18.8,0,25.0,CLE,1,SFO,2019
5,D'Ernest Johnson,1,1,6,6.0,0,6.0,CLE,1,SFO,2019
1,Nick Chubb,6,5,17,3.4,0,6.0,CLE,1,SEA,2019
2,Odell Beckham Jr.,11,6,101,16.8,0,41.0,CLE,1,SEA,2019
3,Ricky Seals-Jones,6,3,47,15.7,1,31.0,CLE,1,SEA,2019
4,Jarvis Landry,5,3,36,12.0,0,27.0,CLE,1,SEA,2019
5,Antonio Callaway,4,2,22,11.0,0,12.0,CLE,1,SEA,2019
6,Dontrell Hilliard,3,2,17,8.5,0,14.0,CLE,1,SEA,2019
7,Pharaoh Brown,1,1,9,9.0,0,9.0,CLE,1,SEA,2019
1,Nick Chubb,1,1,7,7.0,0,7.0,CLE,1,NWE,2019
2,Dontrell Hilliard,4,4,24,6.0,0,14.0,CLE,1,NWE,2019
3,Jarvis Landry,10,5,65,13.0,0,21.0,CLE,1,NWE,2019
4,Odell Beckham Jr.,7,5,52,10.4,0,31.0,CLE,1,NWE,2019
5,Demetrius Harris,3,2,33,16.5,1,21.0,CLE,1,NWE,2019
6,Antonio Callaway,3,2,11,5.5,0,8.0,CLE,1,NWE,2019
7,Rashard Higgins,2,1,2,2.0,0,2.0,CLE,1,NWE,2019
1,Nick Chubb,5,4,26,6.5,0,11.0,CLE,1,DEN,2019
2,Dontrell Hilliard,2,2,6,3.0,0,4.0,CLE,1,DEN,2019
3,Antonio Callaway,5,4,56,14.0,0,41.0,CLE,1,DEN,2019
4,Jarvis Landry,13,6,51,8.5,1,19.0,CLE,1,DEN,2019
5,Demetrius Harris,4,3,25,8.3,0,12.0,CLE,1,DEN,2019
6,Ricky Seals-Jones,2,2,12,6.0,0,7.0,CLE,1,DEN,2019
